skill_name_RockSmack	Rock Smack{desc}10% chance to destroy adjacent rocks in mines		Ricochet{desc}10 % de chances de détruire les rochers adjacents dans les mines.	Felsenbrecher{desc}Chance von 10%, angrenzende Felsen in Minen zu zerstören.	Aplastarrocas{desc}10 % de probabilidad de destruir las rocas contiguas en las minas.	Esmagamento{desc}10% de chance de destruir rochas adjacentes nas minas	狂暴岩石{desc}有 10% 的几率破坏矿洞中邻近的岩石	ロックスマック{desc}鉱山で岩をこわしたとき、10%の確率で隣の岩もこわれる	Цепная реакция{desc}10% шанс разбить соседние камни в шахтах.
skill_name_IdealIngots	Ideal Ingots{desc}Ingots sell for 10% more		Chers lingots{desc}Les lingots se vendent 10 % plus cher.	Ideale Barren{desc}Barren verkaufen sich für 10% mehr.	Lingotes Primorosos{desc}Ganas un 10 % más al vender lingotes.	Barras Ideais{desc}Barras são vendidas por 10% a mais	金锭愿景{desc}矿锭的售价提高 10%	理想のインゴット{desc}インゴットの売却価格が10%増える	Идеальные слитки{desc}Слитки продаются на 10% дороже.
skill_name_RockSmash	Rock Smash{desc}15% chance to destroy adjacent rocks in mines		Réaction en chaîne{desc}15 % de chances de détruire les rochers adjacents dans les mines.	Felsensprenger{desc}Chance von 15%, angrenzende Felsen in Minen zu zerstören.	Machacarrocas{desc}15 % de probabilidad de destruir las rocas contiguas en las minas.	Trituração{desc}15% de chance de destruir rochas adjacentes nas minas	狂躁岩石{desc}有 15% 的几率破坏矿洞中邻近的岩石	ロックスマッシュ{desc}鉱山で岩をこわしたとき、15%の確率で隣の岩もこわれる	Камнедробилка{desc}15% шанс уничтожить соседние камни в шахтах.
skill_name_TreasureTrove	Treasure Trove{desc}Additional treasure chests appear in mines		Mine de trésors{desc}Des coffres au trésor supplémentaires apparaissent dans les mines.	Schatzhort{desc}In Minen erscheinen zusätzliche Schatztruhen.	Colección de Tesoros{desc}Aparecen más cofres del tesoro en las minas.	Caça ao Tesouro{desc}Baús de tesouro adicionais aparecem nas minas	藏宝地{desc}矿洞中出现更多藏宝箱	宝の山{desc}鉱山で追加の宝箱が現れる	Сокровищница{desc}В шахтах появляется дополнительные сундуки с сокровищами.
									
skill_name_HeartyHerbologist	Hearty Herbologist{desc}Unlock Stamina Fertilizer crafting recipe		Herboriste infatigable{desc}Débloque le plan « Engrais d'endurance ».	Herzlicher Kräuterologe{desc}Schalte das Herstellungsrezept für Ausdauerdünger frei.	Herbología Tenaz{desc}Desbloquea el diseño de fabricación para el fertilizante resistente.	Herbologista Diligente{desc}Desbloqueia a receita de criação de Fertilizante de Resistência	热心草药学者{desc}解锁耐力肥料制作配方	達者なハーブ研究者{desc}「スタミナの肥料」のクラフトレシピがアンロックされる	Неутомимый огородник{desc}Открывает рецепт Удобрения Выносливости
skill_name_HealthyHerbologist	Healthy Herbologist{desc}Unlock Healing Fertilizer crafting recipe		Herboriste robuste{desc}Débloque le plan « Engrais de vie ».	Gesunder Kräuterologe{desc}Schalte das Herstellungsrezept für Heildünger frei.	Herbología Medicinal{desc}Desbloquea el diseño de fabricación para el fertilizante curativo.	Herbologista Saudável{desc}Desbloqueia a receita de criação de Fertilizante de Cura	健康草药学者{desc}解锁治疗肥料制作配方	堅実なハーブ研究者{desc}「癒やしの肥料」のクラフトレシピがアンロックされる	Здоровый огородник{desc}Открывает рецепт Удобрения Здоровья
skill_name_HospitableHerbologist	Hospitable Herbologist{desc}Unlock Tame Fertilizer crafting recipe		Herboriste sympathique{desc}Débloque le plan « Engrais d'apprivoisement ».	Gastfreundlicher Kräuterologe{desc}Schalte das Herstellungsrezept für Zähmdünger frei.	Herbología Dócil{desc}Desbloquea el diseño de fabricación para el fertilizante domador.	Herbologista Gentil{desc}Desbloqueia a receita de criação de Fertilizante de Doma	好客草药学者{desc}解锁驯服肥料制作配方	手厚いハーブ研究者{desc}「手なづけの肥料」のクラフトレシピがアンロックされる	Приветливый огородник{desc}Открывает рецепт Удобрения Приручения
skill_name_HeftyHerbologist	Hefty Herbologist{desc}Unlock Power Fertilizer crafting recipe		Herboriste redoutable{desc}Débloque le plan « Engrais de puissance ».	Gewaltiger Kräuterologe{desc}Schalte das Herstellungsrezept für Kraftdünger frei.	Herbología Potente{desc}Desbloquea el diseño de fabricación para el fertilizante vigoroso.	Herbologista Forte{desc}Desbloqueia a receita de criação de Fertilizante de Poder	健壮草药学者{desc}解锁能量肥料制作配方	強烈なハーブ研究者{desc}「パワーの肥料」のクラフトレシピがアンロックされる	Могучий огородник{desc}Открывает рецепт Удобрения Силы
skill_name_HurriedHerbologist	Hurried Herbologist{desc}Unlock Speed Fertilizer Crafting recipe		Herboriste véloce{desc}Débloque le plan « Engrais de vitesse ».	Hastiger Kräuterologe{desc}Schalte das Herstellungsrezept für Tempodünger frei.	Herbología Rauda{desc}Desbloquea el diseño de fabricación para el fertilizante veloz.	Herbologista Célere{desc}Desbloqueia a receita de criação de Fertilizante de Velocidade	迅捷草药学者{desc}解锁速度肥料制作配方	忙しないハーブ研究者{desc}「スピードの肥料」のクラフトレシピがアンロックされる	Торопливый огородник{desc}Открывает рецепт Удобрения Скорости
skill_name_HistoricHerbologist	Historic Herbologist{desc}Unlock Experience Fertilizer Crafting recipe		Herboriste émérite{desc}Débloque le plan « Engrais d'expérience ».	Historischer Kräuterologe{desc}Schalte das Herstellungsrezept für Erfahrungsdünger frei.	Herbología Avezada{desc}Desbloquea el diseño de fabricación para el fertilizante experto.	Herbologista Ilustre{desc}Desbloqueia a receita de criação de Fertilizante de Experiência	博学草药学者{desc}解锁经验肥料制作配方	歴史的なハーブ研究者{desc}「経験の肥料」のクラフトレシピがアンロックされる	Мудрый огородник{desc}Открывает рецепт Удобрения Опыта
									
skill_name_Propogator	Propogator{desc}Crops have 25% chance to drop 3 seeds when cut down with scythe		Propagation{desc}Les cultures ont 25 % de chances de donner 3 graines lorsqu'elles sont coupées à l'aide de la faux.	Propogator{desc}Pflanzen hinterlassen zu 25% 3 Samen, wenn sie mit der Sense abgeschnitten werden.	Propagación{desc}25 % más de probabilidad de que los cultivos suelten 3 semillas al segarlos.	Propagadore{desc}Colheitas têm 25% de chance de deixar cair 3 sementes quando cortadas com foice	播种家{desc}用镰刀收割时，作物有 25% 的几率掉落 3 颗种子	繁殖者{desc}作物をカマで刈る際、25%の確率で種を3つ落とす	Селекционер{desc}Растения имеют 25% шанс выронить больше семян при срезании их косой
skill_name_FineProduce	Fine Produce{desc}Crops sell for 10% more		Produit de qualité{desc}Les cultures se vendent 10 % plus cher.	Gute Ernte{desc}Pflanzen verkaufen sich für 10% mehr.	Buen Producto{desc}Ganas un 10 % más al vender cultivos.	Produção Nobre{desc}Colheitas são vendidas por 10% a mais	良好收成{desc}作物的售价提高 10%	良質な農作物{desc}作物の売却価格が10%増える	Хороший урожай{desc}Растения продаются на 10% дороже
skill_name_GreenThumb	Green Thumb{desc}Crops grow 1 day faster		Main verte{desc}Les cultures poussent 1 jour plus vite.	Grüner Daumen{desc}Pflanzen wachsen 1 Tag schneller.	Dotes de Agricultura{desc}Los cultivos crecen 1 día antes.	Dedo Verde{desc}Colheitas crescem 1 dia mais rápido	绿手指{desc}作物生长速度加快 1 天	園芸上手{desc}作物の生長が1日早くなる	Зеленая жилка{desc}Урожай поспевает на 1 день быстрее
skill_name_QualityProduce	Quality Produce{desc}Crops sell for 20% more		Produit raffiné{desc}Les cultures se vendent 20 % plus cher.	Hochwertige Ernte{desc}Pflanzen verkaufen sich für 20% mehr.	Producto de Calidad{desc}Ganas un 20 % más al vender cultivos.	Produção de Qualidade{desc}Colheitas são vendidas por 20% a mais	品质收成{desc}作物的售价提高 20%	高品質な農作物{desc}作物の売却価格が20%増える	Отличный урожай{desc}Растения продается на 20% дороже
skill_name_LuckyLandscaper	Lucky Landscaper{desc}Crops have 50% chance to drop seeds when harvested		Coup de chance{desc}Les cultures ont 50 % de chances de donner des graines lorsqu'elles sont récoltées.	Glücklicher Landschaftsgärtner{desc}Pflanzen hinterlassen zu 50% Samen, wenn sie geerntet werden.	Paisajismo Portentoso{desc}50 % más de probabilidad de que los cultivos suelten semillas al cosecharlos.	Jardineire de Sorte{desc}Colheitas têm 50% de chance de deixar cair sementes quando colhidas	幸运园艺家{desc}收割时，作物有 50% 的几率掉落种子	幸運な庭師{desc}作物収穫時、50%の確率で種を落とす	Удачливый фермер{desc}Растения имеют 50% шанс выронить семена при сборе урожая
skill_name_BestProduce	Best Produce{desc}Crops sell for 30% more		Produit exquis{desc}Les cultures se vendent 30 % plus cher.	Beste Ernte{desc}Pflanzen verkaufen sich für 30% mehr.	Producto Inmejorable{desc}Ganas un 30 % más al vender cultivos.	Produção de Ponta{desc}Colheitas são vendidas por 30% a mais	最佳收成{desc}作物的售价提高 30%	最高の農作物{desc}作物の売却価格が30%増える	Превосходный урожай{desc}Растения продается на 30% дороже
									
skill_name_BeginnerAngler	Beginner Angler{desc}More likely to catch Silver quality fish		Néophyte de la pêche{desc}Augmente les chances de pêcher des poissons de qualité Argent.	Junger Angler{desc}Du fängst wahrscheinlicher Fische der Silberqualität.	Pesca Básica{desc}Mayor probabilidad de pescar peces de calidad plata.	Pescadore Iniciante{desc}Maior probabilidade de pescar peixes de qualidade Prata	入门垂钓者{desc}有更高几率钓到白银品质的鱼	釣り人初心者{desc}サカナ（シルバー）を釣り上げる可能性が高くなる	Начинающий рыбак{desc}Больше шансов поймать рыбу Серебряного качества
skill_name_Scallywag	Scallywag{desc}5% chance to catch a treasure chest		Subtilisation{desc}5 % de chances de pêcher un coffre au trésor.	Tunichtgut{desc}Chance von 5%, eine Schatztruhe zu fangen.	Sabandija{desc}5 % de probabilidad de pescar un cofre del tesoro.	Patife{desc}5% de chance de pegar um baú de tesouro	调皮鬼{desc}有 5% 的几率抓到一个藏宝箱	ならず者{desc}5%の確率で、宝箱を釣り上げる	Ловкач{desc}5% шанс поймать сундук с сокровищами
skill_name_IntermediateAngler	Intermediate Angler{desc}More likely to catch Gold quality fish		Spécialiste de la pêche{desc}Augmente les chances de pêcher des poissons de qualité Or.	Erfahrener Angler{desc}Du fängst wahrscheinlicher Fische der Goldqualität.	Pesca Intermedia{desc}Mayor probabilidad de pescar peces de calidad oro.	Pescadore Intermediárie{desc}Maior probabilidade de pescar peixes de qualidade Ouro	中级垂钓者{desc}有更高几率钓到黄金品质的鱼	中級釣り人{desc}サカナ（ゴールド）を釣り上げる可能性が高くなる	Опытный рыбак{desc}Больше шансов поймать рыбу Золотого качества
skill_name_Plunderer	Plunderer{desc}10% chance to catch a treasure chest		Pillage{desc}10 % de chances de pêcher un coffre au trésor.	Plünderer{desc}Chance von 10%, eine Schatztruhe zu fangen.	Mangante{desc}10 % de probabilidad de pescar un cofre del tesoro.	Saqueadore{desc}10% de chance de pegar um baú de tesouro	掠夺者{desc}有 10% 的几率抓到一个藏宝箱	略奪者{desc}10%の確率で、宝箱を釣り上げる	Плут{desc}10% шанс поймать сундук с сокровищами
skill_name_ExpertAngler	Expert Angler{desc}More likely to catch Moonstone quality fish		As de la pêche{desc}Augmente les chances de pêcher des poissons de qualité Pierre de lune.	Ausgezeichneter Angler{desc}Du fängst wahrscheinlicher Fische der Mondsteinqualität	Pesca Avanzada{desc}Mayor probabilidad de pescar peces de calidad piedra lunar.	Pescadore Experiente{desc}Maior probabilidade de pescar peixes de qualidade Selenita	垂钓专家{desc}有更高几率钓到月石品质的鱼	ベテラン釣り人{desc}サカナ（ムーンストーン）を釣り上げる可能性が高くなる	Профессиональный рыбак{desc}Больше шансов поймать рыбу Лунного качества
skill_name_Pirate	Pirate{desc}15% chance to catch a treasure chest		Piraterie{desc}15 % de chances de pêcher un coffre au trésor.	Pirat{desc}Chance von 15%, eine Schatztruhe zu fangen.	Pirata{desc}15 % de probabilidad de pescar un cofre del tesoro.	Pirata{desc}15% de chance de pegar um baú de tesouro	大盗{desc}有 15% 的几率抓到一个藏宝箱	海賊{desc}15%の確率で、宝箱を釣り上げる	Пират{desc}15% шанс поймать сундук с сокровищами
									
skill_name_IntimidatingPresence	Intimidating Presence{desc}Spirits that are lower than your average Spirit level run away from you		Présence intimidante{desc}Les esprits dont le niveau est inférieur au niveau moyen des tiens ne s'approchent pas de toi.	Einschüchternde Präsenz{desc}Geister, die unter deiner durchschnittlichen Geisterstufe liegen, laufen vor dir davon.	Presencia Intimidante{desc}Los espíritus con un nivel inferior a la media del nivel de los tuyos huyen de ti.	Presença Intimidadora{desc}Espíritos de nível inferior ao nível médio dos seus Espíritos fogem de você	拔腿就跑{desc}比你的精灵的平均等级更低级别的精灵，见到你会逃走	脅威的な存在{desc}自分の精霊の平均よりレベルの低い精霊が逃げ出す	Устрашающее присутствие{desc}Дикие Духи будут убегать от вас, если их уровень ниже среднего уровня ваших Духов.
skill_name_LinkToTheGrass	Link to the Grass{desc}50% chance that crops drop coins when cut down		Fermage{desc}50 % de chances que les cultures donnent des pièces lorsqu'elles sont coupées.	Verbindung zum Gras{desc}Chance von 50%, dass Pflanzen Münzen hinterlassen, wenn sie abgeschnitten werden.	Vínculo Terrenal{desc}50 % de probabilidad de que los cultivos suelten monedas al segarlos.	Ligação com as Plantas{desc}50% de chance de as colheitas deixarem cair moedas quando cortadas	草地生金{desc}收割时，作物有 50% 的几率掉落钱币	草とのつながり{desc}作物を刈った際、50%の確率でコインを落とす	Единение с травой{desc}50% шанс, что растения выронят монеты при сборе урожая
skill_name_WoodThumb	Wood Thumb{desc}Trees drop 20% more wood		Bûcheronnage{desc}Les arbres donnent 20 % de bois en plus.	Holzdaumen{desc}Bäume hinterlassen 20% mehr Holz.	Dotes de Tala{desc}Los árboles otorgan un 20 % más de leña.	Marcenaria{desc}Árvores deixam cair 20% a mais de madeira	木手指{desc}树木掉落木头的数量增加 20%	伐採上手{desc}木の落とす木材が20%増える	Деревянная жилка{desc}Деревья дают на 20% больше древесины
skill_name_MoonstoneMinded	Moonstone-minded{desc}Chests have +5% chance of dropping Moonstone		Sélénophilie{desc}Les coffres ont 5 % de chances en plus de contenir une pierre de lune.	Auf Mondstein gepolt{desc}Truhen haben eine Chance von +5%, Mondstein zu hinterlassen.	Lunapetremante{desc}5 % más de probabilidad de encontrar piedras lunares en los cofres.	Caça às Selenitas{desc}+5% de chance de receber Selenitas em baús	月石思维{desc}从箱子得到月石的几率增加 5%	ムーンストーン志向{desc}宝箱がムーンストーンを落とす確率が5%増える	Искатель Лунного Камня{desc}Сундуки имеют +5% шанс дать Лунный Камень
skill_name_StoneThumb	Stone Thumb{desc}Rocks drop 20% more stone		Pétropulence{desc}Les rochers donnent 20 % de minerai en plus dans les mines.	Steindaumen{desc}Felsen hinterlassen 20% mehr Stein.	Dotes de Geología{desc}Las rocas otorgan un 20 % más de piedra.	Dedo Cinza{desc}Rochas deixam cair 20% mais pedras	石手指{desc}岩石掉落石头的数量增加 20%	採石上手{desc}岩の落とす石が20%増える	Каменная жилка{desc}Камни дают на 20% больше щебня
skill_name_Moonstonemancer	Moonstonemancer{desc}Chests have +10% chance of dropping Moonstone		Sélénomancie{desc}Les coffres ont 10 % de chances en plus de contenir une pierre de lune.	Mondsteinjäger{desc}Truhen haben eine Chance von +10%, Mondstein zu hinterlassen.	Lunapetremancia{desc}10 % más de probabilidad de encontrar piedras lunares en los cofres.	Selenitomante{desc}+10% de chance de receber Selenitas em baús	月石巫师{desc}从箱子得到月石的几率增加 10%	ムーンストーン使い{desc}宝箱がムーンストーンを落とす確率が10%増える	Мастер Лунного Камня{desc}Сундуки имеют +10% шанс дать Лунный Камень
skill_name_Luminous	Luminous{desc}Increase light radius by 50%		Luminosité{desc}Augmente de 50 % la taille du rayon de lumière.
	Brillant{desc}Erhöht den Lichtradius um 50%	Luminosidad{desc}Aumenta un 50 % el radio de la luz.
	Luz Viva{desc}Aumenta o raio de luz em 50%
	光芒万丈{desc}光照半径增加 50%
	発光{desc}光の範囲が50%増える	Лучистый{desc}Увеличивает радиус освещения на 50%
									
skill_name_RiseAndShine	Rise and Shine{desc}10% chance to wake up with extra Stamina		Du bon pied{desc}10 % de chances de se réveiller avec un surplus d'endurance.	Morgenstund{desc}Chance von 10%, mit zusätzlicher Ausdauer aufzuwachen.	¡Buenos Días!{desc}10 % de probabilidad de despertarte con más resistencia.	Bom Dia!{desc}10% de chance de acordar com Resistência extra	懒虫起床{desc}醒来时有 10% 的几率获得额外耐力	起床{desc}10%の確率で、目覚めたときにスタミナが追加される	Доброе утро{desc}10% шанс проснуться с дополнительной выносливостью
skill_name_MorningPerson	Morning Person{desc}10% chance of waking up one hour early		Lève-tôt{desc}10 % de chances de se réveiller une heure plus tôt.	Morgenmensch{desc}Chance von 10%, eine Stunde früher aufzuwachen.	Alondra{desc}10 % de probabilidad de despertarte una hora antes.	Matinal{desc}10% de chance de acordar uma hora mais cedo	早起鸟儿{desc}有 10% 的几率提前一小时醒来	朝型{desc}10%の確率で1時間早く目が覚める	Выспавшийся{desc}10% шанс проснуться на час раньше
skill_name_GoodNightsSleep	Good Night's Sleep{desc}20% chance to wake up with extra Stamina		Sommeil réparateur{desc}20 % de chances de se réveiller avec un surplus d'endurance.	Guter Schlaf{desc}Chance von 20%, mit zusätzlicher Ausdauer aufzuwachen.	Sueño Reparador{desc}20 % de probabilidad de despertarte con más resistencia.	Bom Descanso{desc}20% de chance de acordar com Resistência extra	整晚安睡{desc}醒来时有 20% 的几率获得额外耐力	熟睡{desc}20%の確率で、目覚めたときにスタミナが追加される	С той ноги{desc}20% шанс проснуться с дополнительной выносливостью
skill_name_BrightAndEarly	Bright and Early{desc}20% chance of waking up one hour early		Aux aurores{desc}20 % de chances de se réveiller une heure plus tôt.	In aller Frühe{desc}Chance von 20%, eine Stunde früher aufzuwachen.	Alondra Tempranera{desc}20 % de probabilidad de despertarte una hora antes.	Boa Disposição{desc}20% de chance de acordar uma hora mais cedo	晨间活力{desc}有 20% 的几率提前一小时醒来	早朝{desc}20%の確率で1時間早く目が覚める	С восходом солнца{desc}20% шанс проснуться на час раньше
skill_name_SmellTheCoffee	Smell the Coffee{desc}30% chance to wake up with extra Stamina		Dose de caféine{desc}30 % de chances de se réveiller avec un surplus d'endurance.	Kaffeegeruch{desc}Chance von 30%, mit zusätzlicher Ausdauer aufzuwachen.	Aroma de Café{desc}30 % de probabilidad de despertarte con más resistencia.	Cafezinho{desc}30% de chance de acordar com Resistência extra	咖啡扑鼻{desc}醒来时有 30% 的几率获得额外耐力	コーヒーの香り{desc}30%の確率で、目覚めたときにスタミナが追加される	Кофейный аромат{desc}30% шанс проснуться с дополнительной выносливостью
skill_name_EarlyRiser	Early Riser{desc}30% chance of waking up one hour early		Dès potron-minet{desc}30 % de chances de se réveiller une heure plus tôt.	Frühaufsteher{desc}Chance von 30%, eine Stunde früher aufzuwachen.	Alondra Madrugadora{desc}30 % de probabilidad de despertarte una hora antes.	Madrugadore{desc}30% de chance de acordar uma hora mais cedo	早起大王{desc}有 30% 的几率提前一小时醒来	早起き{desc}30%の確率で1時間早く目が覚める	Ранняя пташка{desc}30% шанс проснуться на час раньше
									
skill_name_GreatListener	Great Listener{desc}Gain relationship points 5% faster		À l'écoute{desc}Gagne des points de relation 5 % plus vite.	Guter Zuhörer{desc}Erhalte Beziehungspunkte 5% schneller.	Escucha Activa{desc}Ganas puntos de relación un 5 % más rápido.	Ouvinte Atenciose{desc}Recebe pontos de relacionamento 5% mais rápido	聆听者{desc}提升关系点数的速度加快 5%	聞き上手{desc}獲得する好感度が5%増える	Внимательный слушатель{desc}Накапливаете очки отношений на 5% быстрее
skill_name_Generous	Generous{desc}Can give 1 additional gift per week		Générosité{desc}Permet d'offrir 1 cadeau supplémentaire par semaine.	Großzügig{desc}Kann 1 zusätzliches Geschenk pro Woche schenken.	Generosidad{desc}Puedes dar un regalo adicional por semana.	Generosidade{desc}Pode dar 1 presente adicional por semana	慷慨者{desc}每周可以多送出一份礼物	太っ腹{desc}毎週プレゼントできる回数が1回増える	Щедрая душа{desc}Можете дарить 1 дополнительный подарок в неделю
skill_name_CaringPerson	Caring Person{desc}Gain relationship points 10% faster		Personne attentionnée{desc}Gagne des points de relation 10 % plus vite.	Fürsorglicher Mensch{desc}Erhalte Beziehungspunkte 10% schneller.	Empatía{desc}Ganas puntos de relación un 10 % más rápido.	Agradável{desc}Recebe pontos de relacionamento 10% mais rápido	善解人意{desc}提升关系点数的速度加快 10%	世話好き{desc}獲得する好感度が10%増える	Заботливый{desc}Накапливаете очки отношений на 10% быстрее
skill_name_FastTalker	Fast Talker{desc}Can talk to villagers one extra time per day		Moulin à paroles{desc}Permet de parler aux villageois une fois de plus par jour.	Schneller Redner{desc}Du kannst mit Dorfbewohnern ein zusätzliches Mal am Tag reden.	Cotorra{desc}Puedes tener una conversación adicional con la gente del pueblo por día.	Tagarela{desc}Permite falar com os habitantes da ilha uma vez a mais por dia	快嘴{desc}每天多 1 次与村民们交谈的机会	早口{desc}毎日、村人と話せる回数が1回増える	Интересный собеседник{desc}Можете общаться на один раз больше каждый день
skill_name_NicePerson	Nice Person{desc}Gain relationship points 15% faster		Amabilité{desc}Gagne des points de relation 15 % plus vite.	Netter Mensch{desc}Erhalte Beziehungspunkte 15% schneller.	Bondad{desc}Ganas puntos de relación un 15 % más rápido.	Amável{desc}Recebe pontos de relacionamento 15% mais rápido	好相处{desc}提升关系点数的速度加快 15%	善人{desc}獲得する好感度が15%増える	Приятный человек{desc}Накапливаете очки отношений на 15% быстрее
skill_name_Forgivable	Forgivable{desc}Missing dates doesn't reduce Friendship		Pardonnable{desc}Les rendez-vous manqués ne réduisent pas l'amitié.	Nicht nachtragend{desc}Verpasste Dates verschlechtern nicht die Freundschaft.	Disculpable{desc}La amistad no se reduce aunque olvides una cita.	Perdoável{desc}Faltar a encontros não diminui a amizade	心胸宽广{desc}错过约会不会损害友谊	赦免{desc}デートをドタキャンしても好感度が減らない	Забытая обида{desc}Пропущенное свидание больше не снижает уровень дружбы
skill_name_MoreThanACrush	More than a Crush{desc}Unlock Moonstone Bracelet crafting recipe		Une histoire qui compte{desc}Débloque le plan « Bracelet en pierre de lune ».	Da ist mehr{desc}Schalte das Herstellungsrezept für das Mondsteinarmband frei.	Más que un Flechazo{desc}Desbloquea el diseño de fabricación para la pulsera de piedra lunar.	Mais que uma Paquera{desc}Desbloqueia a receita de criação para o bracelete de Selenita	神魂颠倒{desc}解锁月石手镯制作配方	本気の恋{desc}「ムーンストーンのブレスレット」のクラフトレシピがアンロックされる	Больше, чем друг{desc}Открывает схему изготовления Лунного Браслета
skill_name_Chatty	Chatty{desc}Increase chances of successfully chatting by 10%		Pipelette{desc}Augmente de 10 % les chances de réussite lorsque tu bavardes avec une personne.	Redselig{desc}Erhöht die Chance auf eine erfolgreiche Unterhaltung um 10%.	Locuaz{desc}Aumenta un 10 % la probabilidad de tener una buena conversación.	Bom Papo{desc}Aumenta as chances de sucesso ao papear em 10%	爽朗健谈{desc}交谈的成功几率提升 10%	おしゃべり好き{desc}会話の成功率が10%上がる	Разговорчивый{desc}Увеличивает шанс успешного разговора на 10%
skill_name_Funny	Funny{desc}Increase chances of successfully joking by 10%		Boute-en-train{desc}Augmente de 10 % les chances de réussite lorsque tu plaisantes avec une personne.	Lustig{desc}Erhöht die Chance auf erfolgreiches Scherzen um 10%.	Ocurrente{desc}Aumenta un 10 % la probabilidad de hacer un chiste gracioso.	Bom Humor{desc}Aumenta as chances de sucesso ao fazer piada em 10%	幽默风趣{desc}开玩笑的成功几率提升 10%	ユーモラス{desc}冗談の成功率が10%上がる	Забавный{desc}Увеличивает шанс успешной шутки на 10%
skill_name_Flirty	Flirty{desc}Increase chances of successfully flirting by 10%		Séduction{desc}Augmente de 10 % les chances de réussite lorsque tu dragues une personne.	Flirtlaune{desc}Erhöht die Chance auf erfolgreiches Flirten um 10%.	Rompecorazones{desc}Aumenta un 10 % la probabilidad de ligar.	Bom Flerte{desc}Aumenta as chances de sucesso ao flertar em 10%	风情万种{desc}调情的成功几率提升 10%	思わせぶり{desc}口説く成功率が10%上がる	Обольстительный{desc}Увеличивает шанс успешного флирта на 10%
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									

	SPIRITS NAMES AND STATS	COMMENTS	FR	DE	ES	BR	CN	JP	
									
stat_armor	Armor		Armure	Rüstung	Armadura	Armadura	防御	アーマー(ARM)	Броня
stat_speed	Speed		Vitesse	Tempo	Velocidad	Velocidade	速度	スピード(SPD)	Скорость
stat_vitality	Vitality		Vigueur	Vitalität	Vitalidad	Vitalidade	活力	バイタリティ(VIT)	Живучесть
stat_power	Power		Puissance	Kraft	Vigor	Poder	能量	パワー(PWR)	Сила
stat_stamina	Stamina		Endurance	Ausdauer	Resistencia	Resistência	耐力	スタミナ	Выносливость
stat_tame	Tame		Apprivoisement	Zähmen	Facilidad de doma	Doma	驯服	手なづけ	Приручение
stat_hp	HP		PV	LP	PS	PV	生命值	HP	O3
stat_xp	XP		EXP	EP	EXP	EXP	经验值	XP	OO
stat_armor_short	ARM		ARM	RÜS	ARM	ARM	防御	ARM	Броня
stat_speed_short	SPD		VIT	TEM	VEL	VEL	速度	SPD	Скор.
stat_vitality_short	VIT		VIG	VIT	VIT	VIT	火力	VIT	Жив.
stat_power_short	PWR		PUI	KRA	VIG	PDR	能量	PWR	Сила
stat_sells_for	Sells for: {amount}		Prix de vente : {amount}	Verkaufspreis: {amount}	Se vende por: {amount}	Vende por: {amount}	售价：{amount}	売却価格: {amount}	Цена продажи: {amount}
stat_level	Lvl		Niv.	St.	Nvl.	Nvl	等级	レベル	УР.
									
									
									
									
stat_armor_desc	Reduces damage from Attacks		Réduit les dégâts subis.	Senkt den Schaden von Angriffen	Reduce el daño de los ataques	Reduz o dano dos ataques	减少攻击造成的伤害	アタックで受けるダメージが減ります	Снижает урон от Атак
stat_speed_desc	Determines Bash strength and who goes first in battle		Établit la puissance des cartes Impact.	Bestimmt Hiebstärke und die Kampfreihenfolge	Determina la fuerza de la carta Aporrear	Determina a força do Golpear	决定猛击的强度以及战斗中谁先行	「なぐる」の強さとバトルでの行動順を決めます	Определяет силу Тарана и кто ходит первым в бою
stat_vitality_desc	Raises Base HP^from {points_from} to {points_to}		Augmente les PV de base^de {points_from} à {points_to}.	Erhöht Basis-LP^von {points_from} auf {points_to}	Aumenta los PS de base^de {points_from} a {points_to}	Aumenta o PV base^de {points_from} para {points_to}	将基础生命值^由{points_from}提高至{points_to}	基礎HPが上がります^{points_from}→{points_to}	Повышает базовые ОЗ^с {points_from} до {points_to}
stat_power_desc	Determines Attack damage		Détermine les dégâts d'attaque.	Bestimmt Angriffsschaden	Determina el daño de ataque	Determina o dano de ataque	决定攻击的伤害程度	アタックのダメージ量を決めます	Определяет урон Атаки
									
stat_current	Current		Actuels	Aktuell	Actual	Atual	当前	現在	Сейчас
									
card_type_Skill	Skill		Compétence	Fähigkeit	Habilidad	Habilidade	技能	スキル	Навык
card_type_Attack	Attack		Attaque	Angriff	Ataque	Ataque	攻击	アタック	Атака
									
									
element_Dark	Dark		Ténèbres	Dunkel	Oscuridad	Sombrio	暗黑	やみ	Тьма
